Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,Output,RunTime
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqldatabase_editor_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqldatabase_viewer_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqluser_editor_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqluser_viewer_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\role_binding.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-cluster\templates\backup-secret.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-cluster\templates\secret.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\clusterrole.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\clusterrolebinding.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\orchestrator-config.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\orchestrator-ingress.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\orchestrator-secret.yaml,Helm,,0,,,0,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\pdb.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\serviceaccount.yaml,Helm,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\deploy\charts\mysql-operator\templates\statefulset.yaml,Helm,1,1,,,1,,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mysql-operator\\deploy\\charts\\mysql-operator\\templates\\statefulset.yaml', 'detected_dangerous_patterns_summary': ['ATTACK3_ENV_INFO_HARDCODED_SECRET'], 'details': {'ATTACK3_ENV_INFO_HARDCODED_SECRET': {'reason': 'With these configuration parameter combinations, the attacks expose sensitive secrets or credentials through environment variables, which can be easily leaked or exfiltrated.', 'dangerous_configuration_key_combinations': {'secret': {'name': 'hardcode-secret', 'data': {'key': ['user', 'password', 'passwd', 'pwd', 'pswd', 'psswd']}}, 'env': {'valueFrom': {'secretKeyRef': {'name': 'hardcode-secret', 'key': ['user', 'password', 'passwd', 'pwd', 'pswd', 'psswd']}}}}}}}",
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\mongodb-enterprise-multi-cluster.yaml,,1,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\mongodb-enterprise-openshift.yaml,,1,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\mongodb-enterprise.yaml,,1,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\multi_cluster_verify\sample-service.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mongodb-enterprise-kubernetes\\multi_cluster_verify\\sample-service.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\mongodb\project.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\mongodb\authentication\scram\replica-set\replica-set-scram-password.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\mongodb\authentication\scram\sharded-cluster\sharded-cluster-scram-password.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\mongodb\authentication\scram\standalone\standalone-scram-password.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\mongodb\prometheus\replica-set.yaml,,1,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\argocd\project.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\resources\job.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mongodb-enterprise-kubernetes\\samples\\multi-cluster-cli-gitops\\resources\\job.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\resources\rbac\cluster_scoped_central_cluster.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\resources\rbac\cluster_scoped_member_cluster.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\resources\rbac\namespace_scoped_central_cluster.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\multi-cluster-cli-gitops\resources\rbac\namespace_scoped_member_cluster.yaml,,,0,,,,,,,,,,,,
mongodb-enterprise-kubernetes,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mongodb-enterprise-kubernetes\samples\ops-manager\ops-manager-remote-mode.yaml,,,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mongodb-enterprise-kubernetes\\samples\\ops-manager\\ops-manager-remote-mode.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\gateway-kong\kong\kong.yaml,,1,1,,,,1,,,,,,,Yaml load error,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\gateway-kong-enterprise\kong-enterprise\kong-enterprise.yaml,,1,1,,,,1,,,,,,,Yaml load error,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\logging\loki\loki.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\metrics\grafana\grafana.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\metrics\prometheus\kube-stats-metrics.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\metrics\prometheus\server.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s\tracing\jaeger\all-in-one-template.yaml,,1,1,,,,1,,,,,,,Yaml load error,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\logging\loki\loki.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\grafana\grafana.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\prometheus\alertmanager.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\prometheus\kube-stats-metrics.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\prometheus\node-exporter.yaml,,1,1,,,,1,,1,,,,,Yaml load error,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\prometheus\pushgateway.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\metrics\prometheus\server.yaml,,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\app\kumactl\data\install\k8s-deprecated\tracing\jaeger\all-in-one-template.yaml,,1,1,,,,1,,,,,,,Yaml load error,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cni-configmap.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cni-daemonset.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cni-rbac.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-configmap.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-deployment.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-hpa.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-ingress.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-kds-global-server-secret.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-kds-zone-client-tls-secret.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-pdb.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-rbac.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\cp-webhooks-and-secrets.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\egress-deployment.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\egress-hpa.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\egress-pdb.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\egress-rbac.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\ingress-deployment.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\ingress-hpa.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\ingress-pdb.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\ingress-rbac.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\post-delete-cleanup-ebpf-job.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\pre-delete-webhooks.yaml,Helm,,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\pre-install-patch-namespace-job.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\deployments\charts\kuma\templates\pre-upgrade-install-crds-job.yaml,Helm,1,0,,,,,,,,,,,,
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\pkg\plugins\resources\k8s\native\config\default\manager_auth_proxy_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\kuma\\pkg\\plugins\\resources\\k8s\\native\\config\\default\\manager_auth_proxy_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\pkg\plugins\resources\k8s\native\config\default\manager_image_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\kuma\\pkg\\plugins\\resources\\k8s\\native\\config\\default\\manager_image_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\pkg\plugins\resources\k8s\native\config\default\manager_prometheus_metrics_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\kuma\\pkg\\plugins\\resources\\k8s\\native\\config\\default\\manager_prometheus_metrics_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\pkg\plugins\resources\k8s\native\config\default\manager_webhook_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\kuma\\pkg\\plugins\\resources\\k8s\\native\\config\\default\\manager_webhook_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
kuma,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kuma\pkg\plugins\resources\k8s\native\config\manager\manager.yaml,,1,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\analytics\nonhelm-install-job.yaml,Helm,1,1,,,,1,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\analytics\post-install-job.yaml,Helm,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\fission\\charts\\fission-all\\templates\\analytics\\post-install-job.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\analytics\post-upgrade-job.yaml,Helm,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\fission\\charts\\fission-all\\templates\\analytics\\post-upgrade-job.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\buildermgr\configmap.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\buildermgr\deployment.yaml,Helm,1,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\buildermgr\podmonitor.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\buildermgr\serviceaccount.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\canary-config\deployment.yaml,Helm,1,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\canary-config\serviceaccount.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\dashboards\dashboards.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\executor\configmap.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\executor\deployment.yaml,Helm,1,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\executor\serviceaccount.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\fluentbit\fluentbit.yaml,Helm,1,1,,,1,1,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\fluentbit\serviceaccount.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\influxdb\deployment.yaml,Helm,1,1,,,1,1,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\influxdb\secret.yaml,Helm,,0,,,,,,,,,,,,
fission,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\fission\charts\fission-all\templates\kubewatcher\deployment.yaml,Helm,1,0,,,,,,,,,,,,
